Molecule ChEMBL ID,Molecular Weight,#RO5 Violations,AlogP,Smiles,pChEMBL Value
CHEMBL379690,356.42,0,3.92,CC(C)[C@H](N)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,8.44
CHEMBL383759,387.43,0,3.77,CCNC(=O)N1N=C(c2cc(F)ccc2F)CC1(CCCO)c1ccccc1,6.13
CHEMBL206883,329.35,0,3.63,CNC(=O)N1N=C(c2cc(F)ccc2F)CC1(C)c1ccccc1,6.55
CHEMBL209310,494.55,0,4.32,CCNC(=O)N1N=C(c2cc(F)ccc2F)CC1(CCCCNC(=O)c1ncc[nH]1)c1ccccc1,6.26
CHEMBL2043393,446.4,1,5.62,N[C@@H](CSC(Cc1ccc(Cl)c(Cl)c1)(c1ccccc1)c1ccccc1)C(=O)O,5.28
CHEMBL2043392,411.95,0,4.97,N[C@@H](CSC(Cc1ccc(Cl)cc1)(c1ccccc1)c1ccccc1)C(=O)O,6.34
CHEMBL1688931,357.52,0,4.51,CCC(CC)C(SC[C@H](N)C(=O)O)(c1ccccc1)c1ccccc1,5.79
CHEMBL261613,413.54,1,5.28,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc2ccccc2c1)C(=O)O,7.79
CHEMBL203045,356.42,0,3.92,CC(C)(CN)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,8.28
CHEMBL380181,490.01,0,4.22,C=CC(c1nn2ccc(Cl)c2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(C)cc1,5.72
CHEMBL377009,506.05,1,4.92,CCC(c1nn2cccc2c(=O)n1Cc1ccccc1)N(CCC(C)(C)N)C(=O)c1ccc(Cl)cc1,6.19
CHEMBL2347649,423.47,0,4.35,O=C1[C@@H]2Cc3c([nH]c4ccccc34)[C@@H](c3cccc(O)c3)N2C(=O)N1Cc1ccccc1,6.19
CHEMBL2347798,353.24,0,2.68,O=C1CCCC2=C1[C@H](c1cc(O)ccc1Br)NC(=S)N2,6.46
